,corrected_transcripts_gemini1.5flash_slice#0.2_prompt#1_rating,corrected_transcripts_gemini1.5flash_slice#0.2_prompt#2_rating,corrected_transcripts_gemini1.5flash_slice#0.2_prompt#3_rating,corrected_transcripts_gemini1.5flash_slice#0.2_prompt#4_rating,corrected_transcripts_gemini1.5flash_slice#0.2_prompt#5_rating,corrected_transcripts_gpt4omini_slice#0.2_prompt#1_rating,corrected_transcripts_gpt4omini_slice#0.2_prompt#2_rating,corrected_transcripts_gpt4omini_slice#0.2_prompt#3_rating,corrected_transcripts_gpt4omini_slice#0.2_prompt#4_rating,corrected_transcripts_gpt4omini_slice#0.2_prompt#5_rating,corrected_transcripts_llama3_8b_slice#0.2_prompt#1_rating,corrected_transcripts_llama3_8b_slice#0.2_prompt#2_rating,corrected_transcripts_llama3_8b_slice#0.2_prompt#3_rating,corrected_transcripts_llama3_8b_slice#0.2_prompt#4_rating,corrected_transcripts_llama3_8b_slice#0.2_prompt#5_rating,name
65,4,4,4,4,4,6,6,6,4,6,7,8,8,8,8,SUB047_SPEECH002
66,6,4,5,4,4,5,6,6,6,6,7,8,8,7,8,SUB048_SPEECH001
67,4,4,4,4,4,6,6,7,6,7,6,6,8,8,7,SUB048_SPEECH002
68,4,3,4,4,4,3,4,3,3,5,4,3,6,6,8,SUB049_SPEECH001
69,4,4,4,4,4,4,5,4,4,5,6,6,6,7,6,SUB049_SPEECH002
70,5,4,4,4,4,6,4,6,5,6,7,6,8,6,6,SUB050_SPEECH001
71,4,4,4,4,4,6,5,6,6,6,6,6,7,6,8,SUB050_SPEECH002
72,4,4,4,4,4,4,4,4,4,4,6,7,7,8,8,SUB051_SPEECH001
73,4,4,4,4,4,4,6,5,4,4,6,7,7,6,6,SUB051_SPEECH002
74,4,4,4,4,4,5,5,6,4,6,7,6,7,7,8,SUB052_SPEECH001
75,6,4,4,4,4,4,4,4,4,5,6,8,8,7,6,SUB052_SPEECH002
76,6,4,6,6,4,7,6,7,6,6,7,8,8,8,8,SUB054_SPEECH001
77,7,7,7,7,6,6,6,7,7,7,7,8,8,7,8,SUB054_SPEECH002
78,4,4,4,4,4,6,4,6,6,6,8,8,8,8,7,SUB055_SPEECH001
79,4,4,4,4,4,6,6,6,6,6,7,6,8,6,8,SUB055_SPEECH002
80,6,4,4,4,4,6,6,6,6,7,6,7,8,8,8,SUB056_SPEECH001
81,6,6,6,6,6,7,6,6,6,6,6,7,7,7,6,SUB056_SPEECH002
82,6,4,6,4,5,4,5,6,6,6,8,8,7,6,6,SUB057_SPEECH001
83,6,4,4,4,4,5,4,4,4,5,7,6,8,8,6,SUB057_SPEECH002
84,4,4,4,4,4,6,5,6,6,6,6,6,8,6,8,SUB058_SPEECH001
85,4,4,4,4,4,5,4,4,5,6,6,6,6,6,8,SUB058_SPEECH002
86,6,5,6,6,6,7,7,6,6,6,7,8,7,8,7,SUB059_SPEECH001
87,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,SUB059_SPEECH002
88,6,4,6,6,6,6,6,6,6,7,8,8,8,8,7,SUB060_SPEECH001
89,6,6,6,4,4,6,6,7,4,7,8,7,7,8,8,SUB060_SPEECH002
90,4,4,4,4,4,5,6,6,6,5,7,7,8,6,8,SUB061_SPEECH001
91,4,4,4,4,4,4,4,6,4,6,4,6,8,5,6,SUB061_SPEECH002
92,4,4,4,4,4,5,4,4,5,4,8,6,7,8,8,SUB062_SPEECH001
93,4,4,4,4,4,5,4,4,4,5,7,7,8,6,8,SUB062_SPEECH002
94,4,4,4,4,4,3,4,4,4,5,4,7,6,4,7,SUB063_SPEECH001
95,4,4,4,4,4,4,3,4,4,4,6,6,6,7,7,SUB063_SPEECH002
96,6,4,6,4,4,6,6,7,6,5,7,7,7,7,6,SUB064_SPEECH001
97,6,4,6,5,6,5,6,6,6,6,6,8,8,8,8,SUB064_SPEECH002
98,6,4,6,6,6,6,6,6,6,6,6,6,8,7,7,SUB065_SPEECH001
99,6,5,6,6,6,7,5,6,6,6,6,8,7,8,8,SUB065_SPEECH002
100,4,4,3,4,4,5,4,4,4,4,6,6,6,8,7,SUB066_SPEECH001
101,4,4,4,4,4,5,5,5,4,5,7,7,8,6,6,SUB066_SPEECH002
102,4,4,4,4,4,4,3,6,4,3,7,7,7,6,6,SUB067_SPEECH001
103,6,4,4,4,4,5,5,4,6,6,6,7,7,6,8,SUB068_SPEECH001
104,4,4,4,4,4,4,4,4,4,4,6,8,6,6,6,SUB068_SPEECH002
105,4,4,4,4,4,5,4,5,4,3,7,3,6,6,7,SUB069_SPEECH001
106,4,4,4,4,4,5,4,6,5,5,6,7,6,6,6,SUB069_SPEECH002
107,6,6,6,6,6,5,5,5,5,5,8,7,7,7,8,SUB070_SPEECH001
108,4,4,4,4,4,4,5,4,4,4,6,6,6,6,7,SUB070_SPEECH002
109,4,4,4,4,4,4,4,4,4,4,6,7,7,6,8,SUB071_SPEECH001
110,6,4,4,4,4,4,6,6,5,4,6,6,8,6,8,SUB071_SPEECH002
111,6,4,6,6,6,7,6,6,6,5,8,8,8,7,7,SUB072_SPEECH001
112,5,4,5,4,4,6,5,6,6,6,7,6,7,8,8,SUB072_SPEECH002
113,6,4,6,4,4,5,5,4,4,6,8,8,7,8,8,SUB073_SPEECH001
114,4,4,4,4,4,4,4,4,4,4,6,6,7,6,8,SUB074_SPEECH001
115,5,4,4,4,4,6,4,4,6,4,6,6,8,8,8,SUB074_SPEECH002
116,6,4,5,4,4,5,4,5,5,5,6,8,8,8,8,SUB075_SPEECH001
117,4,4,4,4,4,6,5,5,4,5,6,8,7,6,8,SUB075_SPEECH002
118,4,4,4,4,4,4,4,4,4,4,6,7,8,7,6,SUB076_SPEECH001
119,6,4,4,4,4,4,4,4,4,5,8,7,8,7,6,SUB076_SPEECH002
120,6,6,6,6,4,6,6,6,6,5,8,8,7,7,8,SUB077_SPEECH001
121,6,6,6,6,4,7,6,7,6,6,8,7,8,7,8,SUB077_SPEECH002
122,4,4,4,4,4,6,5,6,6,6,8,8,7,7,8,SUB078_SPEECH001
123,6,6,6,6,6,5,6,6,6,4,6,7,8,7,8,SUB078_SPEECH002
124,6,4,6,5,4,7,6,7,6,6,6,8,7,6,7,SUB079_SPEECH001
125,6,4,6,6,6,6,6,7,6,7,6,8,7,8,8,SUB079_SPEECH002
126,4,4,4,4,4,4,3,4,4,5,8,8,7,6,7,SUB080_SPEECH001
127,4,4,3,4,4,5,4,4,4,5,7,4,7,6,8,SUB080_SPEECH002
