,corrected_transcripts_gemini1.5flash_slice#1.0_prompt#1_rating,corrected_transcripts_gemini1.5flash_slice#1.0_prompt#2_rating,corrected_transcripts_gemini1.5flash_slice#1.0_prompt#3_rating,corrected_transcripts_gemini1.5flash_slice#1.0_prompt#4_rating,corrected_transcripts_gemini1.5flash_slice#1.0_prompt#5_rating,corrected_transcripts_gpt4omini_slice#1.0_prompt#1_rating,corrected_transcripts_gpt4omini_slice#1.0_prompt#2_rating,corrected_transcripts_gpt4omini_slice#1.0_prompt#3_rating,corrected_transcripts_gpt4omini_slice#1.0_prompt#4_rating,corrected_transcripts_gpt4omini_slice#1.0_prompt#5_rating,corrected_transcripts_llama3_8b_slice#1.0_prompt#1_rating,corrected_transcripts_llama3_8b_slice#1.0_prompt#2_rating,corrected_transcripts_llama3_8b_slice#1.0_prompt#3_rating,corrected_transcripts_llama3_8b_slice#1.0_prompt#4_rating,corrected_transcripts_llama3_8b_slice#1.0_prompt#5_rating,name
57,6,4,4,4,6,5,4,5,6,6,9,9,9,9,8,SUB042_SPEECH002
58,4,4,4,4,4,3,4,4,4,4,9,7,8,8,8,SUB043_SPEECH001
59,4,4,4,4,4,4,4,4,4,4,8,7,7,5,6,SUB043_SPEECH002
60,6,4,4,4,6,6,6,6,6,6,7,8,7,8,7,SUB044_SPEECH001
61,7,7,7,7,7,7,7,6,6,7,8,8,8,9,8,SUB044_SPEECH002
62,3,3,4,3,4,4,3,4,4,4,6,8,8,8,6,SUB045_SPEECH002
63,4,4,4,4,4,4,4,4,4,4,7,6,8,8,8,SUB046_SPEECH002
64,6,4,5,4,6,4,5,4,4,6,8,9,8,8,7,SUB047_SPEECH001
65,4,6,6,4,6,4,6,4,3,5,8,8,8,8,7,SUB047_SPEECH002
66,4,4,6,4,6,6,5,5,6,6,7,8,8,8,8,SUB048_SPEECH001
67,6,4,5,4,6,6,7,7,7,7,8,7,7,8,8,SUB048_SPEECH002
68,4,4,4,3,4,4,3,4,4,3,6,7,8,8,8,SUB049_SPEECH001
69,4,4,4,4,4,4,4,4,4,4,8,8,8,9,6,SUB049_SPEECH002
70,6,4,4,4,6,6,5,6,5,5,9,8,8,8,8,SUB050_SPEECH001
71,6,4,4,4,6,6,5,4,6,6,5,7,8,7,6,SUB050_SPEECH002
72,4,3,4,4,4,4,4,6,5,6,6,8,7,8,7,SUB051_SPEECH001
73,4,4,4,4,6,4,4,4,4,4,7,9,8,8,7,SUB051_SPEECH002
74,6,4,5,4,6,5,5,6,5,5,8,9,9,7,8,SUB052_SPEECH001
75,4,4,4,4,6,4,4,4,5,5,7,8,7,8,8,SUB052_SPEECH002
76,6,6,6,6,6,6,6,7,5,7,9,9,8,9,9,SUB054_SPEECH001
77,7,6,6,6,7,6,6,6,7,7,7,8,9,8,9,SUB054_SPEECH002
78,4,4,4,4,4,5,5,5,5,5,6,8,8,8,6,SUB055_SPEECH001
79,6,5,6,6,6,5,6,6,6,6,8,9,6,8,9,SUB055_SPEECH002
80,6,4,4,4,5,6,5,7,6,5,8,8,8,8,9,SUB056_SPEECH001
81,6,6,6,6,6,6,5,6,6,6,9,8,9,8,9,SUB056_SPEECH002
82,4,4,4,4,4,4,4,4,4,4,8,4,4,8,8,SUB057_SPEECH001
83,6,4,4,4,5,4,5,6,4,5,9,7,9,8,8,SUB057_SPEECH002
84,6,4,5,4,6,5,5,6,6,6,8,8,7,9,8,SUB058_SPEECH001
85,4,4,4,4,6,4,4,4,3,4,7,8,8,8,8,SUB058_SPEECH002
86,6,6,6,6,6,6,5,6,5,6,8,9,9,9,9,SUB059_SPEECH001
87,7,7,7,7,7,6,6,6,6,7,7,8,9,8,9,SUB059_SPEECH002
88,6,4,6,6,6,6,6,7,5,6,9,9,8,9,9,SUB060_SPEECH001
89,7,7,7,7,7,7,6,7,7,7,8,8,8,8,9,SUB060_SPEECH002
90,4,4,4,3,4,5,5,6,3,5,6,7,6,8,7,SUB061_SPEECH001
91,4,4,4,4,6,4,4,4,4,4,6,9,8,8,8,SUB061_SPEECH002
92,4,4,4,4,4,4,4,4,4,5,6,6,6,6,9,SUB062_SPEECH001
93,4,4,4,4,4,4,4,4,4,4,6,6,8,8,8,SUB062_SPEECH002
94,4,4,4,4,4,3,4,4,3,4,5,5,7,7,7,SUB063_SPEECH001
95,4,4,4,4,4,4,4,4,4,3,8,8,7,8,7,SUB063_SPEECH002
96,6,5,6,6,7,6,5,6,6,6,8,8,8,9,8,SUB064_SPEECH001
97,7,6,6,6,7,6,6,6,6,7,9,8,9,8,9,SUB064_SPEECH002
98,6,6,6,6,7,6,6,6,5,6,8,9,9,7,8,SUB065_SPEECH001
99,6,6,6,6,7,4,5,5,5,5,8,7,7,8,8,SUB065_SPEECH002
100,4,4,4,4,4,4,5,4,5,5,8,6,8,7,8,SUB066_SPEECH001
101,4,4,4,4,6,4,4,4,5,5,8,8,8,7,8,SUB066_SPEECH002
102,3,4,4,4,4,4,3,4,3,4,6,6,8,8,6,SUB067_SPEECH001
103,4,4,4,4,4,4,4,4,4,5,6,7,6,7,8,SUB068_SPEECH001
104,4,4,4,4,4,4,4,4,4,5,8,8,8,9,8,SUB068_SPEECH002
105,4,4,4,3,4,5,5,4,4,4,9,6,7,9,8,SUB069_SPEECH001
106,4,4,4,4,4,6,4,5,5,5,9,8,8,8,8,SUB069_SPEECH002
107,6,4,5,4,6,5,5,6,4,5,8,7,8,8,8,SUB070_SPEECH001
108,4,4,4,4,6,4,4,5,4,4,6,7,8,8,9,SUB070_SPEECH002
109,4,4,4,4,5,5,4,4,4,5,7,6,8,8,9,SUB071_SPEECH001
110,6,4,5,4,6,4,6,6,4,5,8,8,8,8,8,SUB071_SPEECH002
111,6,4,6,4,7,6,5,6,5,6,8,7,8,8,8,SUB072_SPEECH001
112,6,4,6,4,6,6,5,6,5,6,8,9,8,9,8,SUB072_SPEECH002
113,6,6,4,4,6,5,5,5,5,6,7,8,8,8,8,SUB073_SPEECH001
114,6,4,4,4,6,4,5,4,4,6,7,7,7,9,8,SUB074_SPEECH001
115,6,4,4,4,6,5,5,5,5,5,6,8,8,8,8,SUB074_SPEECH002
116,6,4,4,4,6,6,5,5,5,5,9,8,9,8,8,SUB075_SPEECH001
117,4,4,4,4,6,6,5,4,4,5,8,9,8,8,8,SUB075_SPEECH002
118,4,4,4,4,4,4,4,4,4,4,8,6,7,8,6,SUB076_SPEECH001
119,6,4,5,4,6,5,4,4,4,4,6,8,8,8,8,SUB076_SPEECH002
120,6,6,6,6,7,6,6,6,6,7,9,8,9,8,9,SUB077_SPEECH001
121,7,7,7,7,7,8,7,7,7,8,9,9,9,8,9,SUB077_SPEECH002
122,4,4,4,4,6,6,6,7,4,5,9,8,8,8,8,SUB078_SPEECH001
123,6,6,5,4,6,5,6,6,6,6,9,8,8,8,9,SUB078_SPEECH002
124,7,6,6,6,7,7,7,7,7,8,8,8,9,8,8,SUB079_SPEECH001
125,6,6,6,6,7,6,6,7,6,8,8,8,8,8,7,SUB079_SPEECH002
126,4,4,4,4,4,5,3,3,4,4,7,8,6,7,7,SUB080_SPEECH001
127,4,4,4,4,4,5,4,4,4,5,6,8,8,7,6,SUB080_SPEECH002
